ParentBusinessUnit,BusinessUnit,Latitude,Longitude,StateShort,Year,Make,Model,Trim,Mileage,ListPrice,LotPrice,MSRP,MarketAveragePrice,AgeInDays,Color,InteriorColor,ReconditionCost,UnitCost,PotentialGross,Stock,VIN,Received,Transmission,Risk,PrimaryBookValue,class
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2001,Dodge,Ram 2500,,300891,10997,10997,9990,NULL,3,Silve,GRAY,NULL,3500,7497,1G206268,3B7KC23661G206268,3/3/2019,Manual,RED,5102,2WD Standard Pickup Trucks
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2016,Ford,Escape,SE,54270,16997,18500,NULL,17098,47,White,DL,1654.19,15654.19,1342.81,GUB61330T,1FMCU9G90GUB61330,1/18/2019,Automatic,YELLOW,13949,4WD Sport Utility Vehicles
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2013,Hyundai,Sonata,GLS PZEV,105515,7997,8995,NULL,8499,75,Shimm,NULL,1864.11,6959.11,1037.89,DH655100TV,5NPEB4ACXDH655100,12/21/2018,Automatic,RED,6859,4-door Mid-Size Passenger Car
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2003,Subaru,Legacy,L,166770,NULL,2997,NULL,NULL,65,Silve,NULL,275,1025,NULL,37306932T,4S3BH635037306932,12/31/2018,Automatic,RED,1266,Mid-Size Wagon
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2010,GMC,Sierra 1500,SLT,121054,19997,20000,NULL,NULL,258,SIL/S,NULL,527.25,17887.25,2109.75,AG157083T,3GTRKWE36AG157083,6/21/2018,Automatic,RED,16568,4WD Standard Pickup Trucks
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2006,BMW,3 Series,325I,114073,NULL,0,NULL,8995,68,MAR/M,NULL,1138.48,1788.48,NULL,6PT16560TV,WBAVB13526PT16560,12/28/2018,Automatic,RED,3343,4-door Compact Passenger Car
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2017,Ford,Super Duty F-350 SRW,LARIAT,16590,61997,63995,NULL,62118.1666,78,INGOT,5B,2172.45,64392.9,-2395.9,HED27016T,1FT8W3BT3HED27016,12/18/2018,Automatic,YELLOW,60104,4WD Standard Pickup Trucks
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2017,Ford,Escape,SE,20491,18797,19300,NULL,17908,65,UX IN,WB,1238.38,17238.38,1558.62,HUD29374T,1FMCU9GD9HUD29374,12/31/2018,Automatic,YELLOW,16900,4WD Sport Utility Vehicles
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2010,Nissan,Frontier,SE,122941,11497,15000,14000,NULL,55,WHI/W,NULL,1446.93,9446.93,2050.07,AC432208T,1N6AD0EV9AC432208,1/10/2019,Manual,RED,9660,4WD Small Pickup Trucks
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2007,Ford,F-150,LARIAT,92996,15800,15800,14500,NULL,194,DARK,NULL,2463.37,11963.37,3836.63,7FB62188T,1FTPX14V07FB62188,8/24/2018,Automatic,RED,11136,4WD Standard Pickup Trucks
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2016,Toyota,Highlander,N/A,28988,34997,36995,NULL,34490.5,62,Silve,10,1194.84,32694.84,2302.16,GS284110T,5TDDKRFH4GS284110,1/3/2019,Automatic,GREEN,33134,4WD Sport Utility Vehicles
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2010,Toyota,Corolla,S,157835,6997,8200,NULL,8814.6666,68,WHI/W,NULL,2107.28,5607.28,1389.72,AZ309341T,1NXBU4EE4AZ309341,12/28/2018,N/A,RED,4965,4-door Compact Passenger Car
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2004,Chevrolet,Silverado 1500 Crew Cab,LS,147616,NULL,8901,NULL,NULL,83,BLK/B,NULL,250,5250,NULL,41300761TV,2GCEK13T441300761,12/13/2018,Automatic,RED,7585,4WD Standard Pickup Trucks
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2014,Honda,CR-V,EX,55320,16497,17995,NULL,NULL,38,GREY,NULL,1794.61,14794.61,1702.39,EG705274T,3CZRM3H57EG705274,1/27/2019,5-Speed A/T,YELLOW,14950,2WD Sport Utility Vehicles
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2014,Ford,Explorer,BASE,103018,15997,16000,16000,17763,39,Ingot,7L,1619.49,12619.49,3377.51,EGA69923T,1FM5K8B81EGA69923,1/26/2019,Automatic,RED,12509,4WD Sport Utility Vehicles
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2000,Ford,Taurus,LX,121725,NULL,0,NULL,NULL,37,FORT-,NULL,NULL,250,NULL,YG105860T,1FAFP52U9YG105860,1/28/2019,Automatic,RED,1071,4-door Mid-Size Passenger Car
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2005,Ford,Super Duty F-250,KING RANCH,231966,NULL,0,NULL,NULL,37,WHI/W,NULL,NULL,8100,NULL,5EB00189T,1FTSW21P65EB00189,1/28/2019,Automatic,RED,10776,4WD Standard Pickup Trucks
