YMM,Trim,DriveTrain,Class,Longitude,Latitude,Year,Mileage,ListPrice,LotPrice,MSRP,MarketAveragePrice,AgeInDays,ReconditionCost,UnitCost,PotentialGross,PrimaryBookValue
2000 Ford Expedition,Eddie Bauer,4WD, Sport Utility Vehicles,-123.8016,46.9674,2000,226478.0,3919.0,3919.0,3919.0,4145.0,72.0,1483.08,3068.08,850.92,1459.0
2001 Toyota Tacoma,PRERUNNER,4WD, Small Pickup Trucks,-123.1763,44.0487,2001,250814.0,9996.0,12999.0,12999.0,9999.0,1.0,60.0,3700.0,6296.0,7892.0
2003 Toyota Sienna,LE,4WD,Mini-Van (Passenger),-123.8016,46.9674,2003,151428.0,5999.0,5999.0,5999.0,4998.0,15.0,1274.44,3364.44,2634.56,1920.0
2004 Chevrolet Silverado 2500HD,LS,4WD, Standard Pickup Trucks,-123.2585,44.5725,2004,85000.0,15995.0,17997.0,17997.0,10654.6666,26.0,220.0,10575.0,5420.0,10275.0
2004 Chevrolet Tahoe,LT,2WD, Sport Utility Vehicles,-123.4436,46.9971,2004,221821.0,5989.0,598.0,597.7,6427.5,271.0,597.7,4705.42,1283.58,6921.0
2004 Ford Super Duty F-350 SRW,XLT,4WD, Standard Pickup Trucks,-123.4436,46.9971,2004,156223.0,18989.0,18989.0,18989.0,7100.0,14.0,18989.0,8539.0,10450.0,13132.0
2004 Lexus RX 330, ,4WD, Sport Utility Vehicles,-117.3979,47.7552,2004,183868.0,6995.0,6995.0,7783.0,8327.3333,36.0,186.56,2686.56,4308.44,5812.0
2004 MINI Cooper Hardtop,S,4WD, Sub-Compact Passenger Car,-122.7711,45.4954,2004,71276.0,6490.0,7990.0,7990.0,5988.0,73.0,2855.66,5855.66,634.34,3278.0
2005 Ford F-150,FX4,2WD, Standard Pickup Trucks,-114.45700000000001,42.5913,2005,138579.0,9999.0,10800.0,10800.0,12877.0,21.0,752.93,4252.93,5746.07,6861.0
2006 Chevrolet Silverado 1500,LT1,4WD, Standard Pickup Trucks,-123.4436,46.9971,2006,179490.0,9989.0,9989.0,9989.0,10700.0,4.0,9989.0,4400.0,5589.0,10921.0
2006 Dodge Ram 2500,SLT,4WD, Standard Pickup Trucks,-117.3979,47.7552,2006,162217.5,16995.0,8497.5,17185.0,22990.0,5.5,344.65,15672.325,4995.0,15713.0
2006 Ford Mustang,Premium,4WD, Sub-Compact Passenger Car,-123.8016,46.9674,2006,149493.0,6437.0,6437.0,6437.0,5888.0,46.0,1550.25,4650.25,1786.75,4039.0
2006 Ford Super Duty F-250,XLT,4WD, Standard Pickup Trucks,-121.7555,42.2011,2006,209000.0,15995.0,15995.0,15995.0,19773.4,67.0,536.15,4536.15,11458.85,10485.0
2006 Honda CR-V,EX SE,4WD, Sport Utility Vehicles,-123.2585,44.5725,2006,166162.0,9995.0,10997.0,10997.0,7757.0,10.0,220.0,4075.0,5920.0,6700.0
2006 Honda Civic,EX,2WD, Sub-Compact Passenger Car,-122.654,45.5271,2006,79954.0,6990.0,6990.0,6990.0,3800.0,9.0,135.0,2635.0,4355.0,4768.0
2006 Hyundai Sonata,GLS,4WD, Mid-Size Passenger Car,-114.45700000000001,42.5913,2006,148000.0,3999.0,4999.0,4000.0,7988.0,57.0,1743.09,2743.09,1255.91,2213.0
2007 Chevrolet Aveo,SVM,4WD, Sub-Compact Passenger Car,-123.2585,44.5725,2007,66279.0,6997.0,6997.0,6997.0,4979.0,4.0,220.0,2075.0,4922.0,2462.0
2007 Chevrolet Silverado 1500,LT W/2LT,4WD, Standard Pickup Trucks,-117.3979,47.7552,2007,207901.0,9995.0,9995.0,12260.0,12997.0,4.0,175.66,5175.66,4819.34,9469.0
2007 Dodge Ram 2500,SLT,4WD, Standard Pickup Trucks,-117.3979,47.7552,2007,170533.0,12995.0,12995.0,14325.0,12999.0,23.0,917.75,8480.25,4514.75,10810.0
2007 Dodge Ram 3500,LARAMIE,2WD, Standard Pickup Trucks,-114.45700000000001,42.5913,2007,177285.0,19999.0,22347.0,22347.0,15800.0,75.0,741.21,17741.21,2257.79,20004.0
2007 Ford Mustang,GT PREMIUM,4WD, Sub-Compact Passenger Car,-123.4436,46.9971,2007,32913.0,13589.0,13995.0,13995.0,12316.5,82.0,13995.0,10232.62,3356.38,14178.0
2007 GMC Yukon Denali,DENALI,4WD, Sport Utility Vehicles,-122.654,45.5271,2007,130473.0,14990.0,12995.0,12995.0,17875.0,66.0,1486.78,8986.78,6003.22,10537.0
2008 Chevrolet Avalanche,LT W/1LT,2WD, Standard Pickup Trucks,-121.7555,42.2011,2008,136701.0,9995.0,14995.0,14995.0,17999.0,167.0,312.5,9712.5,282.5,10742.0
2008 Toyota Tundra 4WD,CREWMAX 5.7L V8 6-SPD AT,2WD, Standard Pickup Trucks,-121.2746,44.0557,2008,141725.0,17933.0,18995.0,18995.0,15990.0,11.0,169.48,13549.95,4383.05,16454.0
2009 Dodge Ram 1500,SLT,4WD, Standard Pickup Trucks,-123.8095,46.9768,2009,105804.0,18995.0,21995.0,21995.0,17173.8,126.0,1821.27,16031.27,2963.73,14990.0
2009 Ford F-150,XLT,4WD, Standard Pickup Trucks,-122.654,45.5271,2009,95971.0,15990.0,15990.0,15490.0,17996.3333,6.0,715.41,12811.25,3178.75,13696.0
2010 Dodge Ram 3500,LARAMIE,4WD, Standard Pickup Trucks,-122.654,45.5271,2010,110360.0,32990.0,32990.0,32990.0,33990.0,6.0,80.0,30284.0,2706.0,33579.0
2010 Ford Expedition,XLT,4WD, Sport Utility Vehicles,-121.7547,42.2076,2010,114928.0,10897.0,10897.0,11997.0,9995.0,8.0,1604.73,9104.73,1792.27,8110.0
2010 Mazda MAZDA3,i Sport,4WD, Compact Passenger Car,-122.8771,42.3556,2010,129343.0,7987.0,9999.0,7987.0,7991.0,25.0,1567.41,3673.66,4313.34,3747.0
2010 Nissan Altima,2.5 S,4WD, Mid-Size Passenger Car,-123.0815,44.0588,2010,77939.0,9700.0,9700.0,9700.0,6660.6666,3.0,396.66,4096.66,5603.34,5270.0
2010 Toyota 4Runner,SR5,4WD, Sport Utility Vehicles,-123.8016,46.9674,2010,94704.0,23028.0,23028.0,23028.0,25990.0,29.0,1977.02,20732.02,2295.98,20302.0
2010 Toyota Prius,II,4WD, Mid-Size Passenger Car,-122.8771,42.3556,2010,103425.0,9985.0,12999.0,9985.0,10158.8571,33.0,1215.29,6959.04,3025.96,6942.0
2010 Toyota Prius,IV,4WD, Mid-Size Passenger Car,-123.8016,46.9674,2010,89228.0,10234.0,10234.0,10234.0,11225.4,9.0,80.0,7220.0,3014.0,8851.0
2010 Volkswagen Touareg,V6,4WD, Sport Utility Vehicles,-122.7711,45.4954,2010,109636.0,13490.0,18490.0,18490.0,13509.25,133.0,1458.11,17414.36,-3924.36,11301.0
2011 Chevrolet Silverado 1500,LT,4WD, Standard Pickup Trucks,-123.8016,46.9674,2011,104121.0,17379.0,17379.0,17379.0,17949.0,12.0,80.0,14290.0,3089.0,15360.0
2011 Ram 1500,LARAMIE,2WD, Standard Pickup Trucks,-122.654,45.5271,2011,98107.0,19990.0,19990.0,19990.0,19638.5625,6.0,1125.23,20503.23,-513.23,18960.0
2011 Ram 2500,Laramie,4WD, Standard Pickup Trucks,-123.8095,46.9768,2011,88367.0,37999.0,37999.0,37999.0,26569.0,8.0,80.0,31965.0,6034.0,35016.0
2012 Chevrolet Cruze,LTZ,4WD, Compact Passenger Car,-122.654,45.5271,2012,67338.0,10990.0,10990.0,10990.0,9827.6666,11.0,1425.16,7425.16,3564.84,8069.0
2012 Chevrolet Silverado 1500,LTZ,4WD, Standard Pickup Trucks,-123.8095,46.9768,2012,76730.0,25999.0,25999.0,25999.0,24800.0,12.0,80.0,20855.0,5144.0,23000.0
2012 Chrysler 300,Limited,4WD, Large Passenger Car,-122.8771,42.3556,2012,101627.0,12985.0,15999.0,12985.0,15956.0,48.0,187.67,9793.92,3191.08,10074.0
2012 Dodge Grand Caravan,CREW,4WD, Minivans,-117.3979,47.7552,2012,100035.0,8995.0,8995.0,9808.0,8888.0,21.0,742.87,5492.87,3502.13,6711.0
2012 Dodge Grand Caravan,SE,4WD, Minivans,-123.2585,44.5725,2012,121251.0,10997.0,10997.0,10997.0,10995.0,6.0,220.0,4575.0,6422.0,7350.0
2012 Ford Explorer,LIMITED,4WD, Sport Utility Vehicles,-122.654,45.5271,2012,98050.0,16390.0,16390.0,16390.0,14000.0,13.0,1401.32,16116.32,273.68,14642.0
2012 Ford F-150,FX4,4WD, Standard Pickup Trucks,-122.654,45.5271,2012,102145.0,22990.0,22990.0,22990.0,22352.8,13.0,1200.0,20155.0,2835.0,19592.0
2012 Ford F-150,LARIAT,4WD, Standard Pickup Trucks,-114.45700000000001,42.5913,2012,115507.0,20800.0,20800.0,20800.0,23811.4,9.0,917.18,13917.18,6882.82,17403.0
2012 MINI Cooper,S,4WD, Mini-Compact Passenger Car,-122.7711,45.4954,2012,52669.0,13990.0,15990.0,15990.0,13471.0,181.0,3109.73,13015.98,974.02,10018.0
2012 MINI Cooper Countryman,S,4WD, Sub-Compact Passenger Car,-122.7711,45.4954,2012,86658.0,13490.0,14990.0,14990.0,13330.75,103.0,2644.71,13313.46,176.54,9888.0
2012 Mercedes-Benz C-Class,C 300 Luxury,2WD, Compact Passenger Car,-123.8095,46.9768,2012,70589.0,15995.0,15995.0,15995.0,12491.0,30.0,825.71,12005.71,3989.29,11826.0
2012 Nissan LEAF,SL,4WD, Compact Passenger Car,-123.8095,46.9768,2012,51800.0,6999.0,8995.0,8995.0,7661.3333,97.0,1096.9,7026.9,-27.9,4656.0
2012 Nissan LEAF,SL,4WD, Compact Passenger Car,-122.7711,45.4954,2012,44451.0,7990.0,7990.0,7990.0,7429.625,2.0,377.55,4377.55,3612.45,5119.0
2012 Nissan Sentra,2.0 SR,4WD, Sub-Compact Passenger Car,-123.8095,46.9768,2012,67995.0,8995.0,8995.0,8995.0,9243.0,32.0,430.0,5045.0,3950.0,5316.0
2012 Nissan Xterra,S,4WD, Sport Utility Vehicles,-123.4436,46.9971,2012,180001.0,9989.0,9989.0,9989.0,19489.5,7.0,9989.0,4900.0,5089.0,9497.0
2012 Ram 1500,LARAMIE,4WD, Standard Pickup Trucks,-122.654,45.5271,2012,90455.0,22990.0,24875.0,24875.0,23490.2,91.0,1041.61,22571.61,418.39,20372.0
2012 Ram 1500,SLT,4WD, Standard Pickup Trucks,-122.654,45.5271,2012,113067.0,15990.0,15990.0,15990.0,18593.0,6.0,822.77,16575.77,-585.77,15720.0
2012 Ram 1500,SLT,4WD, Standard Pickup Trucks,-117.3979,47.7552,2012,81960.0,18995.0,19995.0,19519.0,19019.0,27.0,800.87,15550.87,3444.13,16353.0
2012 Ram 3500,LARAMIE,4WD, Standard Pickup Trucks,-117.3979,47.7552,2012,94504.0,35995.0,37995.0,38936.0,41234.75,47.0,1279.62,34373.37,1621.63,37736.0
2012 Toyota Sienna,XLE,4WD, Minivans,-123.8095,46.9768,2012,89433.0,16995.0,16995.0,16995.0,17396.8333,11.0,115.0,12810.0,4185.0,14468.0
2012 Volkswagen Beetle,2.0T BLACK TURBO LAUNCH EDITION PZEV,4WD, Sub-Compact Passenger Car,-122.7711,45.4954,2012,68512.0,10490.0,10990.0,10990.0,11855.0,61.0,487.91,9606.66,883.34,10375.0
2013 BMW 5 Series,550I XDRIVE,4WD, Mid-Size Passenger Car,-122.7711,45.4954,2013,58271.0,23990.0,24990.0,23990.0,25386.0,45.0,990.79,21415.79,2574.21,21951.0
2013 Chevrolet Captiva Sport Fleet,LTZ,2WD, Sport Utility Vehicles,-122.7711,45.4954,2013,136560.0,7388.0,7990.0,7990.0,9746.25,66.0,1052.34,5921.09,1466.91,5402.0
2013 Chevrolet Malibu,LS,4WD, Mid-Size Passenger Car,-122.654,45.5271,2013,47035.0,10990.0,11990.0,11990.0,11477.0,73.0,1154.27,9154.27,1835.73,9679.0
2013 Dodge Durango,SXT,4WD, Sport Utility Vehicles,-123.8095,46.9768,2013,52903.0,19512.0,22995.0,22595.0,17656.3333,112.0,2354.11,19594.11,-82.11,17094.0
2013 Ford Escape,Titanium,4WD, Sport Utility Vehicles,-122.8771,42.3556,2013,65040.0,17987.0,19999.0,17987.0,15318.6,3.0,1346.87,13846.87,4140.13,14493.0
2013 Ford Explorer,XLT,4WD, Sport Utility Vehicles,-123.8095,46.9768,2013,65175.0,19886.0,19999.0,19999.0,18051.7142,34.0,800.15,17030.15,2855.85,16971.0
2013 Ford F-150,Lariat,4WD, Standard Pickup Trucks,-123.8095,46.9768,2013,53968.0,30557.0,30557.0,30557.0,24047.0909,11.0,524.77,25339.77,5217.23,27019.0
2013 Ford Focus,SE,4WD, Compact Passenger Car,-122.654,45.5271,2013,111533.0,7990.0,7990.0,7990.0,8705.4444,38.0,1651.75,4401.75,3588.25,4774.0
2013 Ford Fusion,SE,4WD, Mid-Size Passenger Car,-122.8771,42.3556,2013,40941.0,13985.0,16999.0,13985.0,13930.0,8.0,1196.5,11196.5,2788.5,11200.0
2013 Ford Fusion,TITANIUM,4WD, Mid-Size Passenger Car,-122.654,45.5271,2013,92220.0,11990.0,11990.0,11990.0,13765.3333,3.0,985.73,9785.73,2204.27,9911.0
2013 Honda CR-V,EX-L,4WD, Sport Utility Vehicles,-123.8095,46.9768,2013,90788.0,16995.0,17695.0,16995.0,18113.2,26.0,1348.67,14043.67,2951.33,14845.0
2013 Honda CR-V,EX-L,4WD, Sport Utility Vehicles,-122.8771,42.3556,2013,57358.0,20987.0,22999.0,20987.0,18896.2,27.0,1190.53,16009.28,4977.72,17448.0
2013 Honda Fit,Sport,4WD, Sub-Compact Passenger Car,-123.8095,46.9768,2013,72263.0,11999.0,11999.0,11999.0,12700.625,5.0,80.0,8735.0,3264.0,9350.0
2013 Hyundai Elantra,GLS,4WD, Compact Passenger Car,-123.8095,46.9768,2013,72880.0,9999.0,9999.0,9999.0,9447.625,18.0,1640.07,8275.07,1723.93,7385.0
2013 Hyundai Santa Fe,SPORT,4WD, Sport Utility Vehicles,-122.654,45.5271,2013,96631.0,12990.0,14990.0,14990.0,13987.0,95.0,652.34,13702.34,-712.34,11602.0
2013 INFINITI G37,Journey,4WD, Compact Passenger Car,-123.8095,46.9768,2013,70140.0,13499.0,17985.0,17985.0,16044.5,69.0,1463.8,12896.3,602.7,11925.0
2013 Jeep Wrangler Unlimited,SAHARA,2WD, Sport Utility Vehicles,-114.45700000000001,42.5913,2013,48571.0,29999.0,29999.0,29999.0,24745.5,35.0,1402.94,24062.94,5936.06,26102.0
2013 MINI Cooper Hardtop,S,4WD, Mini-Compact Passenger Car,-122.7711,45.4954,2013,63876.5,11990.0,12490.0,11990.0,11246.25,6.5,1290.31,8645.154999999999,3344.8450000000003,9178.5
2013 Nissan Altima,2.5 SL,4WD, Mid-Size Passenger Car,-123.0815,44.0588,2013,57991.0,13990.0,14990.0,14990.0,11785.4444,16.0,950.02,10450.02,3539.98,10572.0
2013 Nissan JUKE,SV,4WD,Small Wagon,-122.7711,45.4954,2013,47690.0,12990.0,13990.0,13990.0,11491.5,56.0,1254.97,12442.47,547.53,10835.0
2013 Nissan Pathfinder,PLATINUM,4WD, Sport Utility Vehicles,-123.2585,44.5725,2013,70021.0,21997.0,21997.0,21997.0,14640.25,19.0,13.0,18770.42,3226.58,17600.0
2013 Nissan Pathfinder,SV,4WD, Sport Utility Vehicles,-123.0815,44.0588,2013,96751.0,14995.0,14995.0,14995.0,16390.75,1.0,304.15,9804.15,5190.85,11487.0
2013 Ram 1500,Express,4WD, Standard Pickup Trucks,-123.8095,46.9768,2013,112281.0,18995.0,18995.0,18995.0,22668.1111,22.0,1209.6,13904.6,5090.4,14431.0
2013 Ram 1500,LARAMIE,2WD, Standard Pickup Trucks,-122.654,45.5271,2013,63063.0,28990.0,28990.0,28990.0,23896.25,49.0,3512.85,26512.85,2477.15,26957.0
2013 Ram 1500,Laramie,4WD, Standard Pickup Trucks,-123.0815,44.0588,2013,71445.0,25690.0,30000.0,30000.0,27161.5555,95.0,1403.89,25833.89,-143.89,25840.0
2013 Ram 1500,SLT,4WD, Standard Pickup Trucks,-122.654,45.5271,2013,60804.0,25990.0,25990.0,25990.0,21692.0,42.0,2612.05,24797.05,1192.95,21287.0
2013 Ram 3500,Laramie Limited,4WD, Standard Pickup Trucks,-117.3979,47.7552,2013,134255.0,31995.0,35995.0,40575.0,42249.0,90.0,894.91,31894.91,100.09,35113.0
2013 Ram 3500,TRADESMAN,4WD, Standard Pickup Trucks,-117.3979,47.7552,2013,71390.0,24995.0,26995.0,29458.0,26990.0,70.0,476.5,20539.0,4456.0,28333.0
2013 Toyota Sienna,XLE,4WD, Minivans,-122.5688,45.6611,2013,110777.0,16281.0,16281.0,34720.0,19998.0,9.0,22.5,11776.38,4504.62,15328.0
2014 Chevrolet Malibu,LT,4WD, Mid-Size Passenger Car,-114.45700000000001,42.5913,2014,64325.0,11866.0,11866.0,11866.0,11555.5,6.0,2022.04,9022.04,2843.96,10094.0
2014 Chrysler Town & Country,TOURING,4WD, Minivans,-123.0815,44.0588,2014,45534.0,14800.0,15988.0,15988.0,14271.5,8.0,1048.73,12048.73,2751.27,12992.0
2014 FIAT 500L,LOUNGE,4WD,Small Wagon,-117.3979,47.7552,2014,9373.0,14995.0,14995.0,12588.0,10868.0,9.0,200.7,9200.7,5794.3,9228.0
2014 Ford Edge,Sport,2WD, Sport Utility Vehicles,-122.8771,42.3556,2014,36211.0,23986.0,26999.0,24987.0,18999.0,33.0,1335.36,20335.36,3650.64,21866.0
2014 Ford Explorer,BASE,4WD, Sport Utility Vehicles,-121.7547,42.2076,2014,103018.0,15997.0,16000.0,16000.0,17763.0,39.0,1619.49,12619.49,3377.51,12509.0
2014 Ford Explorer,XLT,4WD, Sport Utility Vehicles,-122.654,45.5271,2014,80214.0,17990.0,17990.0,17990.0,20009.1428,6.0,632.46,17397.46,592.54,16658.0
2014 Ford F-150,XLT,2WD, Standard Pickup Trucks,-123.4436,46.9971,2014,46785.0,26289.0,28995.0,28995.0,23395.3333,163.0,28995.0,24650.48,1638.52,26956.0
2014 Ford Focus,SE,4WD, Compact Passenger Car,-123.1763,44.0487,2014,48526.0,10996.0,13999.0,13999.0,10475.0714,3.0,236.0,6700.0,4296.0,9402.0
2014 Ford Fusion,SE,2WD, Mid-Size Passenger Car,-122.8771,42.3556,2014,30780.0,12984.0,18999.0,12984.0,12892.75,89.0,1291.16,13428.66,-444.66,12728.0
2014 Ford Fusion,TITANIUM,4WD, Mid-Size Passenger Car,-122.654,45.5271,2014,84018.0,12990.0,12990.0,12990.0,15991.0,68.0,878.74,11873.74,1116.26,11364.0
2014 Ford Mustang,V6 Premium,2WD, Sub-Compact Passenger Car,-123.8095,46.9768,2014,42905.0,13999.0,16999.0,16999.0,14532.7857,96.0,1388.15,14588.15,-589.15,14959.0
2014 Hyundai Sonata,GLS,4WD, Large Passenger Car,-123.8095,46.9768,2014,158251.0,9999.0,9999.0,9999.0,11674.0,20.0,1206.27,5821.27,4177.73,5322.0
2014 Jeep Compass,SPORT,4WD, Sport Utility Vehicles,-122.654,45.5271,2014,56760.0,10990.0,10990.0,10990.0,10250.0,14.0,1575.29,7275.29,3714.71,9453.0
2014 Jeep Patriot,SPORT,4WD, Sport Utility Vehicles,-123.4436,46.9971,2014,102111.0,9989.0,9989.0,9989.0,11995.0,6.0,9989.0,4700.0,5289.0,8145.0
2014 Jeep Patriot,SPORT,4WD, Sport Utility Vehicles,-123.1763,44.0487,2014,50795.0,11996.0,14999.0,14999.0,10985.0,6.0,236.0,8200.0,3796.0,11539.0
2014 Jeep Wrangler Unlimited,RUBICON,4WD, Sport Utility Vehicles,-122.654,45.5271,2014,22746.0,35790.0,35790.0,35790.0,30495.0,28.0,1149.44,33414.44,2375.56,34061.0
2014 Jeep Wrangler Unlimited,SPORT,4WD, Sport Utility Vehicles,-122.654,45.5271,2014,62025.0,25240.0,25240.0,25240.0,26842.555500000002,17.0,966.51,23943.510000000002,1296.49,24245.5
2014 Jeep Wrangler Unlimited,SPORT,4WD, Sport Utility Vehicles,-117.3979,47.7552,2014,76317.0,22495.0,24495.0,24597.5,25060.0,50.5,935.075,20435.074999999997,2059.925,22157.0
2014 Kia Optima,SX Turbo,2WD, Mid-Size Passenger Car,-122.7711,45.4954,2014,24784.0,17490.0,19990.0,19990.0,17010.4,91.0,782.95,18647.95,-1157.95,16704.0
2014 Kia Soul,BASE,4WD,Small Wagon,-122.654,45.5271,2014,46216.0,9990.0,9990.0,9990.0,10832.6,6.0,814.23,9844.23,145.77,9071.0
2014 Lexus IS 350, ,4WD, Compact Passenger Car,-149.866,61.1334,2014,18830.0,31995.0,34995.0,34995.0,29988.0,114.0,1828.21,26828.21,5166.79,29275.0
2014 Mazda MAZDA3,I TOURING,4WD, Mid-Size Passenger Car,-122.654,45.5271,2014,67993.0,11790.0,11790.0,11790.0,12188.5,42.0,2199.89,10704.89,1085.11,9050.0
2014 Mazda MAZDA6,I GRAND TOURING,4WD, Mid-Size Passenger Car,-122.7711,45.4954,2014,93175.0,11490.0,13990.0,13990.0,14590.1666,96.0,1179.46,12416.96,-926.96,10635.0
2014 Nissan Altima,2.5 S,2WD, Mid-Size Passenger Car,-122.7711,45.4954,2014,46327.0,11490.0,12990.0,12990.0,11760.0,65.0,843.64,9524.89,1965.11,9734.0
2014 Nissan Maxima,3.5 S,4WD, Mid-Size Passenger Car,-123.8095,46.9768,2014,71016.0,12923.0,12923.0,12923.0,14993.8,19.0,80.0,8735.0,4188.0,10015.0
2014 Nissan Maxima,3.5 S,4WD, Mid-Size Passenger Car,-123.2585,44.5725,2014,88528.0,14995.0,15997.0,15997.0,13743.5,11.0,220.0,9075.0,5920.0,12075.0
